LEI_Code,Name,Country,Desc_country
529900S9YO2JHTIIDG38,BAWAG Group AG,AT,Austria
9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,AT,Austria
529900SXEWPJ1MRRX537,Raiffeisen-Holding Niederösterreich-Wien,AT,Austria
529900XSTAE561178282,Raiffeisenbankengruppe OÖ Verbund eGen,AT,Austria
AT0000000000043000VB,VOLKSBANK WIEN AG VB,AT,Austria
A5GWLFH3KM7YV2SFQL84,Belfius Bank,BE,Belgium
549300DYPOFMXOR7XM56,Crelan,BE,Belgium
5493008QOCP58OLEN998,Investeringsmaatschappij Argenta,BE,Belgium
213800X3Q9LSAKRUWY91,KBC Groupe,BE,Belgium
635400L14KNHZXPUZM19,Bank of Cyprus Holdings Public Limited Company,CY,Cyprus
254900RNFMDM0P11YR84,ATLANTIC LUX HOLDCO S.A R.L.,DE,Germany
VDYMYTQGZZ6DU0912C88,Bayerische Landesbank,DE,Germany
851WYGNLUQLFZBSYGB56,COMMERZBANK Aktiengesellschaft,DE,Germany
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,DE,Germany
529900HNOAA1KXQJUQ27,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",DE,Germany
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany
DZZ47B9A52ZJ6LT6VV95,Deutsche Pfandbriefbank AG,DE,Germany
391200EEGLNXBBCVKC73,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,DE,Germany
529900JZTYE3W7WQH904,HASPA Finanzholding,DE,Germany
TUKDD90GPC79G1KOE162,Hamburg Commercial Bank AG,DE,Germany
B81CK4ESI35472RHJ606,Landesbank Baden-Württemberg,DE,Germany
DIZES5CFO5K3I5R58746,Landesbank Hessen-Thüringen Girozentrale,DE,Germany
549300C9KPZR0VZ16R05,Morgan Stanley Europe Holding SE,DE,Germany
